언급된 종목,조회수,해당일 거래량,다음날 거래량,해당일 평균 주가,다음날 평균 주가,업로드시간,Unnamed: 7,구독자,상장주식수,업로드 시간 원본,Unnamed: 11,주가 변화율,거래량 변화율,라벨1
삼성전자,12236,10724025,6432886,84416.66667,88450.0,2021-01-19 오후 3,2021-01-19,537000,5969782,2021-01-19 오후 3:31:15,오후 3:31:15,0.04777887458843906,0.4001425770641154,1
교보증권,12236,20774,22208,7716.666667,7856.666667,2021-01-19 오후 3,2021-01-19,537000,64653296,2021-01-19 오후 3:31:15,오후 3:31:15,0.018142548595328614,0.06902859343410032,0
셀트리온,460754,904519,405523,306833.3333,319333.3333,2021-01-19 오후 7,2021-01-19,537000,134997805,2021-01-19 오후 7:48:32,오후 7:48:32,0.04073872895608242,0.5516700036151811,1
삼성전자,460754,10724025,6432886,84416.66667,88450.0,2021-01-19 오후 7,2021-01-19,537000,5969782,2021-01-19 오후 7:48:32,오후 7:48:32,0.04777887458843906,0.4001425770641154,1
SK,460754,71909,251392,298666.6667,319250.0,2021-01-19 오후 7,2021-01-19,537000,70360297,2021-01-19 오후 7:48:32,오후 7:48:32,0.06891741059498689,2.4959740783490245,1
교보증권,16416,38345,20774,7913.333333,7716.666667,2021-01-18 오후 7,2021-01-18,537000,64653296,2021-01-18 오후 7:23:30,오후 7:23:30,0.024852569419749372,0.45823445038466554,0
현대모비스,455655,238198,348181,324166.6667,335916.6667,2021-01-18 오후 8,2021-01-18,537000,95054694,2021-01-18 오후 8:16:40,오후 8:16:40,0.03624678662866357,0.46172931762651237,0
삼성전자,455655,7681967,10724025,86483.33333,84416.66667,2021-01-18 오후 8,2021-01-18,537000,5969782,2021-01-18 오후 8:16:40,오후 8:16:40,0.02389670449118879,0.39599987867690656,0
SK,455655,156029,71909,298833.3333,298666.6667,2021-01-18 오후 8,2021-01-18,537000,70360297,2021-01-18 오후 8:16:40,오후 8:16:40,0.0005577242610772593,0.5391305462446083,0
교보증권,72757,40663,21724,8253.333333,8316.666667,2021-01-14 오후 1,2021-01-14,537000,64653296,2021-01-14 오후 1:53:15,오후 1:53:15,0.007673667286254874,0.46575510906721096,0
교보증권,48637,58030,40663,8355.0,8253.333333,2021-01-13 오후 3,2021-01-13,537000,64653296,2021-01-13 오후 3:59:45,오후 3:59:45,0.012168362298025075,0.2992762364294331,0
셀트리온,524502,1176968,621086,363083.3333,344166.6667,2021-01-14 오후 8,2021-01-14,537000,134997805,2021-01-14 오후 8:09:36,오후 8:09:36,0.052100068675887075,0.4723000115551145,1
카카오,524502,211730,162174,458250.0,450000.0,2021-01-14 오후 8,2021-01-14,537000,88560927,2021-01-14 오후 8:09:36,오후 8:09:36,0.01800327332242226,0.23405280309828555,0
SK,524502,250194,140649,303583.3333,309333.3333,2021-01-14 오후 8,2021-01-14,537000,70360297,2021-01-14 오후 8:09:36,오후 8:09:36,0.01894043371056167,0.43784023597688193,0
엠씨넥스,524502,144473,206799,49675.0,50283.33333,2021-01-14 오후 8,2021-01-14,537000,17863482,2021-01-14 오후 8:09:36,오후 8:09:36,0.012246267337695044,0.4314024073702353,0
CJ제일제당,524502,25688,22914,436833.3333,447333.3333,2021-01-14 오후 8,2021-01-14,537000,15054186,2021-01-14 오후 8:09:36,오후 8:09:36,0.02403662724334503,0.10798816568047337,0
