채널,동영상 이름,업로드 시간,조회수,언급된 종목,해당일 거래량,다음날 거래량,해당일 평균 주가,다음날 평균 주가
개미르망,"휴켐스,에코프로,이건산업,한솔홈데코,kc코트렐(탄소배출권관련주)총정리/1116",2020-11-16 10:05:04+00:00,525,에코프로,64838,66562,41925.83333,42793
소확재테크.d동동이형아b,"주식) 바이든 공약, 탄소배출권 관련주: 세종공업, KC코트렐, 에코바이오, 이건산업, 한솔홈데코, 휴켐스, 에코프로",2020-11-09 12:14:45+00:00,1265,에코프로,204195,183693,46358.5,44273.16667
이상로의빨간주식,"네패스, 현대중공업, 미세먼지관련주, 위닉스, 비메모리반도체관련주, 유가관련주, 삼성엔지니어링, 에프에스티 4월24일 MTN 이상로의 새빨간투자",2019-04-24 08:35:23+00:00,1994,에프에스티,500066,1320705,7571.666667,8023.333333
주식강행,"누구든 쉽게 따라할 수 있는 사계절테마 (봄 &amp; 가을 - 오공, 웰크론, 모나리자. 여름테마주 - 와이엔텍, 파세코, 신일전자, 배럴, 하이트진로. 겨울테마주 - 경동나비엔 )",2020-05-05 06:27:35+00:00,2066,오공,152412,63498,5541.666667,5581.666667
주식으로 슈퍼직장인,"[최종원]SM life Design 국내 유일 마블 관련주, 디즈니 관련주!(겨울왕국2, 디즈니플러스, 미세먼지 테마, 하츠, 웰크론, 위닉스, 위니아딤채, 크린앤사이언스, 오공)",2019-10-15 02:02:33+00:00,1188,오공,30290,13153,3515,3544.166667
공부하는 동학개미,"[임정우] 미세먼지 관련주 미리미리 선취매 하려면 언제?어떤거?  (미세먼지 관련주,겨울철 미세먼지,파세코,크린앤사이언스,위닉스,하츠,오공,웰크론)",2019-12-05 07:11:49+00:00,919,오공,9541,5451,3253.333333,3176.666667
한국증권TV,"[01.07] 바이든 관련주!! 내일의 대응전략!!(그린케미칼,kc코트렐, 오성첨단소재, 한화솔루션, 유니슨 등등)",2021-01-07 10:00:11+00:00,3175,오성첨단소재,19825858,3584044,5445,5050
주식강행,"누구든 쉽게 따라할 수 있는 사계절테마 (봄 &amp; 가을 - 오공, 웰크론, 모나리자. 여름테마주 - 와이엔텍, 파세코, 신일전자, 배럴, 하이트진로. 겨울테마주 - 경동나비엔 )",2020-05-05 06:27:35+00:00,2066,와이엔텍,275487,98622,11150,11375
외인잡는개미,태풍 폐기물 관련주 테마주 종목정리 (인선이엔티 코엔텍 제넨바이오 와이엔텍),2020-09-02 21:00:04+00:00,916,와이엔텍,115744,134198,13800,13583.33333
주식생성기,"[주식] 역대 최장, 최악 장마 홍수! 무조건 대장주를 잡아라! M&amp;A 황제주 공개! (폐기물처리,인선이엔티,와이엔텍,KGETS,제넨바이오,태영건설,KC그린홀딩스)",2020-08-09 11:47:40+00:00,1010,와이엔텍,74579,1721995,12683.33333,13266.66667
진검승부-,[주식투자-2020.08.06] 홍수/장마 수혜주 &amp; 윤석열 관련주 분석(#서연 #제일테크노스 #효성오앤비 #조비 #폐기물 #인선이엔티 #제넨바이오 #와이엔텍 #비료 #아시아종묘),2020-08-06 15:05:45+00:00,2336,와이엔텍,636852,74579,13116.66667,12683.33333
외인잡는개미,폐기물관련주 추천종목 (인선이엔티 코엔텍 와이엔텍 KG ETS),2020-08-03 21:00:03+00:00,565,와이엔텍,393045,106004,12925,12875
슬기로운 매매생활,"[임정우] 4대강 관련주 생각보다 강한데.. 사야할까? (이화공영,특수건설,우원개발,자연과환경,일대일로,인선이엔티,장마 관련주,폐기물 관련주,홍수 관련주)",2020-08-11 01:41:48+00:00,975,우원개발,1311419,105608,6516.666667,6326.666667
주식강행,"누구든 쉽게 따라할 수 있는 사계절테마 (봄 &amp; 가을 - 오공, 웰크론, 모나리자. 여름테마주 - 와이엔텍, 파세코, 신일전자, 배럴, 하이트진로. 겨울테마주 - 경동나비엔 )",2020-05-05 06:27:35+00:00,2066,웰크론,683263,325086,7020,7118.333333
주식으로 슈퍼직장인,"[최종원]SM life Design 국내 유일 마블 관련주, 디즈니 관련주!(겨울왕국2, 디즈니플러스, 미세먼지 테마, 하츠, 웰크론, 위닉스, 위니아딤채, 크린앤사이언스, 오공)",2019-10-15 02:02:33+00:00,1188,웰크론,74410,95102,3460.833333,3547.5
주식으로 슈퍼직장인,"[박정호] 미세먼지 관련주 (위닉스, 크린앤사이언스, 웰크론, 케이엠, 모나리자, 마스크)",2020-10-20 05:08:33+00:00,1091,웰크론,3103137,5441946,6370,6891.666667
주식으로 슈퍼직장인,"[홍화] 미세먼지/황사/제습기/공기청정기 테마주 상승! 종목분석+향후 대응(하츠,웰크론,위닉스,한국테크놀로지)",2019-10-21 05:15:21+00:00,821,웰크론,2348939,364051,3821.666667,3633.333333
수익맨,"[주식] 미세먼지 관련주 단기 저점 포착! 단기 반등이 예상되는 유력 대장주 공개![위닉스,크린앤사이언스,파세코,하츠,웰크론,공기청정기 관련주]",2019-04-23 09:43:07+00:00,6643,웰크론,107895,94476,4264.166667,4270
주식으로 슈퍼직장인,"[박정호] 미세먼지 관련주 (위닉스, 크린앤사이언스, 웰크론, 케이엠, 모나리자, 마스크)",2020-10-20 05:08:33+00:00,1091,웰크론,3103137,5441946,6370,6891.666667
월스트리트경제TV,미세먼지 저감조치 #미세먼지관련주  12월 10일 투달시황라이브 #주식 #라이브 #개장전시황 #아침시황 #개장 #종목 #특징주 #투달시황라이브 #클린앤사이언스 #하츠 #웰크론,2019-12-10 00:27:48+00:00,109,웰크론,1088686,160987,3643.333333,3592.5
공부하는 동학개미,"[임정우] 미세먼지 관련주 미리미리 선취매 하려면 언제?어떤거?  (미세먼지 관련주,겨울철 미세먼지,파세코,크린앤사이언스,위닉스,하츠,오공,웰크론)",2019-12-05 07:11:49+00:00,919,웰크론,9828,50967,3437.5,3387.5
그레이스파트너스,"미세먼지 예비저감조치, 미세먼지관련주 하츠/위닉스/모나리자/웰크론",2019-10-21 06:55:06+00:00,144,웰크론,2348939,364051,3821.666667,3633.333333
주식으로 슈퍼직장인,"[최종원]SM life Design 국내 유일 마블 관련주, 디즈니 관련주!(겨울왕국2, 디즈니플러스, 미세먼지 테마, 하츠, 웰크론, 위닉스, 위니아딤채, 크린앤사이언스, 오공)",2019-10-15 02:02:33+00:00,1188,위니아딤채,7258,6294,2803.333333,2872.5
슈아건TV,"[주식] 계절테마, 봄 황사 미세먼지 관련주 지금부터 준비! 자리가 좋은 여섯 종목 선정 1)위니아딤채 2)디에이치피코리아 3)위닉스 4)삼일제약 5)JW중외제약 6)하츠",2020-11-11 13:27:47+00:00,772,위니아딤채,9993,13951,2467.5,2496.666667
주식으로 슈퍼직장인,"[최종원]SM life Design 국내 유일 마블 관련주, 디즈니 관련주!(겨울왕국2, 디즈니플러스, 미세먼지 테마, 하츠, 웰크론, 위닉스, 위니아딤채, 크린앤사이언스, 오공)",2019-10-15 02:02:33+00:00,1188,위닉스,22920,58113,23250,23875
RankingStock,"위닉스 - 공기청정기, 봄 되면 날아가는 테마주?미세먼지 수혜주?",2021-01-10 01:50:26+00:00,485,위닉스,31749,133169,22250,23025
빨간불의 주식방송,"내일 주목할 대장주 테마 [공기청정기] 성호전자, 위닉스, 코웨이, 카스 향후 주가 전망은?",2020-11-25 08:14:31+00:00,820,위닉스,58753,21281,20816.66667,20641.66667
주식으로 슈퍼직장인,"[박정호] 미세먼지 관련주 (위닉스, 크린앤사이언스, 웰크론, 케이엠, 모나리자, 마스크)",2020-10-20 05:08:33+00:00,1091,위닉스,116136,52826,20266.66667,20366.66667
도지선생 주식이야기,특징주분석 위닉스(장마관련주),2020-08-03 10:00:29+00:00,649,위닉스,142819,466546,19666.66667,21183.33333
주식으로 슈퍼직장인,"[홍화] 미세먼지/황사/제습기/공기청정기 테마주 상승! 종목분석+향후 대응(하츠,웰크론,위닉스,한국테크놀로지)",2019-10-21 05:15:21+00:00,821,위닉스,525031,187940,27316.66667,26975
호호호빵TV,"[주식] 미세먼지 테마주의 다크호스 (크린앤사이언스,위닉스,공기청정기,공기청정기 필터,카본블록필터,정수기 필터,한독크린텍)",2019-10-16 12:39:51+00:00,691,위닉스,58113,246626,23875,25450
이상로의빨간주식,"네패스, 현대중공업, 미세먼지관련주, 위닉스, 비메모리반도체관련주, 유가관련주, 삼성엔지니어링, 에프에스티 4월24일 MTN 이상로의 새빨간투자",2019-04-24 08:35:23+00:00,1994,위닉스,182673,56293,23566.66667,23175
수익맨,"[주식] 미세먼지 관련주 단기 저점 포착! 단기 반등이 예상되는 유력 대장주 공개![위닉스,크린앤사이언스,파세코,하츠,웰크론,공기청정기 관련주]",2019-04-23 09:43:07+00:00,6643,위닉스,131460,182673,23683.33333,23566.66667
복면주달,"주식투자 시황 9 - 미세먼지관련주 수급확산 [하츠,누리플랜,대유위니아,위닉스 등]",2019-03-06 11:30:13+00:00,25,위닉스,2604697,709719,17933.33333,18350
주식소림사,[주식]미세먼지관련주 공기청정기 필터관련주 상한가! 계속 상승할까? 미세먼지관련주식 차트분석 대유위니아 하츠 위닉스 누리플랜,2019-03-06 05:15:27+00:00,825,위닉스,2604697,709719,17933.33333,18350
슈아건TV,"[주식] 계절테마, 봄 황사 미세먼지 관련주 지금부터 준비! 자리가 좋은 여섯 종목 선정 1)위니아딤채 2)디에이치피코리아 3)위닉스 4)삼일제약 5)JW중외제약 6)하츠",2020-11-11 13:27:47+00:00,772,위닉스,15811,32587,21100,21775
주식으로 슈퍼직장인,"[박정호] 미세먼지 관련주 (위닉스, 크린앤사이언스, 웰크론, 케이엠, 모나리자, 마스크)",2020-10-20 05:08:33+00:00,1091,위닉스,116136,52826,20266.66667,20366.66667
공부하는 동학개미,"[임정우] 미세먼지 관련주 미리미리 선취매 하려면 언제?어떤거?  (미세먼지 관련주,겨울철 미세먼지,파세코,크린앤사이언스,위닉스,하츠,오공,웰크론)",2019-12-05 07:11:49+00:00,919,위닉스,21791,45679,24616.66667,24841.66667
진검승부-,[주식투자-20191021]미세먼지 대장주/대선주 추세 분석(#위닉스 #하츠 #윌비스 #스타플렉스 #모나리자 #신일산업),2019-10-21 12:26:38+00:00,1790,위닉스,525031,187940,27316.66667,26975
그레이스파트너스,"미세먼지 예비저감조치, 미세먼지관련주 하츠/위닉스/모나리자/웰크론",2019-10-21 06:55:06+00:00,144,위닉스,525031,187940,27316.66667,26975
외인잡는개미,농약 비료 제습기 관련주 종목추천 (경농 조비 남해화학 위닉스),2020-08-09 06:00:06+00:00,647,위닉스,170534,404902,20941.66667,21500
도지선생 주식이야기,특징주분석 위닉스(장마관련주),2020-08-03 10:00:29+00:00,649,위닉스,142819,466546,19666.66667,21183.33333
